Company,TypeName,Ram,Memory,Gpu,OpSys,Weight,Price,Tochscreen,IPS,CPU,HDD,SSD,PPI
Apple,Ultrabook,8,128 SSD,Intel,Mac OS,1.37,117772,0,1,Intel Core i5,0,128,226.98
Apple,Ultrabook,8,128 Flash Storage,Intel,Mac OS,1.34,79025,0,0,Intel Core i5,0,0,127.68
HP,Notebook,8,256 SSD,Intel,No OS,1.86,50548,0,0,Intel Core i5,0,256,141.21
Apple,Ultrabook,16,512 SSD,AMD,Mac OS,1.83,223067,0,1,Intel Core i7,0,512,220.53
Apple,Ultrabook,8,256 SSD,Intel,Mac OS,1.37,158554,0,1,Intel Core i5,0,256,226.98
Acer,Notebook,4,500 HDD,AMD,Windows 10,2.1,35164,0,0,AMD A Series,500,0,100.45
Apple,Ultrabook,16,256 Flash Storage,Intel,Mac OS,2.04,188124,0,1,Intel Core i7,0,0,220.53
Apple,Ultrabook,8,256 Flash Storage,Intel,Mac OS,1.34,101861,0,0,Intel Core i5,0,0,127.68
Asus,Ultrabook,16,512 SSD,Nvidia,Windows 10,1.3,131425,0,0,Intel Core i7,0,512,157.35
Acer,Ultrabook,8,256 SSD,Intel,Windows 10,1.6,67690,0,1,Intel Core i5,0,256,157.35
HP,Notebook,4,500 HDD,Intel,No OS,1.86,34627,0,0,Intel Core i5,500,0,100.45
HP,Notebook,4,500 HDD,Intel,No OS,1.86,30328,0,0,Intel Core i3,500,0,141.21
Apple,Ultrabook,16,256 SSD,AMD,Mac OS,1.83,214497,0,1,Intel Core i7,0,256,220.53
Dell,Notebook,4,256 SSD,AMD,Windows 10,2.2,43858,0,0,Intel Core i3,0,256,141.21
Apple,Ultrabook,8,256 SSD,Intel,Mac OS,0.92,110977,0,1,Intel Core M,0,256,226.42
Apple,Ultrabook,8,256 SSD,Intel,Mac OS,1.37,133495,0,1,Intel Core i5,0,256,226.98
Dell,Notebook,8,256 SSD,AMD,Windows 10,2.2,65492,0,0,Intel Core i7,0,256,141.21
Apple,Ultrabook,16,512 SSD,AMD,Mac OS,1.83,251246,0,1,Intel Core i7,0,512,220.53
Lenovo,Notebook,8,1000 HDD,Nvidia,No OS,2.2,43867,0,0,Intel Core i3,1000,0,141.21
Dell,Ultrabook,8,128 SSD,Intel,Windows 10,1.22,86063,1,1,Intel Core i5,0,128,165.63
Asus,Netbook,2,32 Flash Storage,Intel,Windows 10,0.98,16869,0,0,Intel Atom,0,0,135.09
Lenovo,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.5,87822,0,1,Intel Core i5,1000,128,141.21
HP,Notebook,4,500 HDD,AMD,No OS,1.86,22680,0,0,AMD E Series,500,0,100.45
Dell,2 in 1 Convertible,8,256 SSD,Intel,Windows 10,1.62,71998,1,0,Intel Core i5,0,256,165.63
HP,Ultrabook,8,256 SSD,Intel,Windows 10,1.91,57932,0,0,Intel Core i7,0,256,141.21
Dell,Notebook,4,1000 HDD,Intel,Windows 10,2.3,36802,0,0,Intel Core i3,1000,0,100.45
Apple,Ultrabook,8,128 Flash Storage,Intel,Mac OS,1.35,96613,0,0,Intel Core i5,0,0,127.68
Dell,Notebook,8,256 SSD,AMD,Windows 10,2.2,70328,0,0,Intel Core i5,0,256,141.21
Dell,Ultrabook,8,256 SSD +  256 SSD,Intel,Windows 10,1.88,114107,0,0,Intel Core i7,0,512,141.21
HP,Notebook,8,1000 HDD,Nvidia,Windows 10,2.5,78767,0,0,Intel Core i5,1000,0,127.34
Asus,Notebook,2,32 Flash Storage,AMD,Windows 10,1.65,17494,0,0,AMD E Series,0,0,111.94
HP,Notebook,4,500 HDD,AMD,Windows 10,2.71,38592,0,0,AMD A Series,500,0,127.34
Dell,Ultrabook,16,512 SSD,Intel,Windows 10,1.2,164303,1,0,Intel Core i7,0,512,276.05
Apple,Ultrabook,8,256 Flash Storage,Intel,Mac OS,1.35,87734,0,0,Intel Core i5,0,0,127.68
Lenovo,Notebook,4,64 Flash Storage,Intel,Windows 10,1.44,21889,0,0,Intel Celeron,0,0,111.94
Acer,Notebook,4,1000 HDD,Intel,Linux/Android/Chrome OS,2.1,32262,0,0,Intel Core i3,1000,0,100.45
Dell,Notebook,8,128 SSD +  1000 HDD,AMD,Windows 10,2.8,86063,0,1,Intel Core i5,1000,128,127.34
HP,Notebook,4,1000 HDD,Intel,Windows 10,1.86,42960,0,0,Intel Core i5,1000,0,100.45
HP,Notebook,8,256 SSD,Nvidia,Windows 10,2.1,77272,0,0,Intel Core i5,0,256,141.21
Asus,Notebook,4,1000 HDD,Intel,Linux/Android/Chrome OS,2.0,34196,0,0,Intel Core i3,1000,0,141.21
Dell,Gaming,16,256 SSD +  1000 HDD,Nvidia,Windows 10,2.65,131777,0,1,Intel Core i7,1000,256,141.21
Asus,Notebook,8,1000 HDD,Nvidia,Linux/Android/Chrome OS,2.3,45976,0,0,Intel Core i5,1000,0,100.45
Acer,Notebook,4,256 SSD,Intel,Windows 10,2.2,59954,0,1,Intel Core i5,0,256,141.21
Dell,2 in 1 Convertible,12,1000 HDD,Nvidia,Windows 10,2.77,87822,1,0,Intel Core i5,1000,0,127.34
Apple,Ultrabook,8,256 SSD,Intel,Mac OS,1.37,124744,0,1,Intel Core i5,0,256,226.98
Lenovo,Notebook,4,128 SSD,Intel,No OS,2.2,32438,0,0,Intel Core i3,0,128,100.45
Asus,Gaming,8,256 SSD +  1000 HDD,AMD,Windows 10,3.2,114195,0,0,AMD Ryzen Series,1000,256,127.34
Dell,Notebook,4,256 SSD,AMD,Windows 10,2.3,56174,0,0,Intel Core i5,0,256,141.21
Asus,Notebook,4,1000 HDD,Nvidia,Windows 10,2.8,40966,0,0,Intel Pentium,1000,0,90.58
Lenovo,2 in 1 Convertible,4,64 Flash Storage,Intel,Linux/Android/Chrome OS,0.69,28043,1,1,Intel Atom,0,0,224.17
Acer,Notebook,8,256 SSD,Nvidia,Windows 10,2.2,73932,0,1,Intel Core i7,0,256,141.21
HP,Notebook,4,256 SSD,AMD,Windows 10,1.86,35031,0,0,AMD A Series,0,256,141.21
HP,Notebook,8,512 SSD,Intel,Windows 10,1.49,96964,0,0,Intel Core i7,0,512,165.63
Acer,Notebook,4,1000 HDD,Intel,Windows 10,2.4,33757,0,0,Intel Core i3,1000,0,100.45
Dell,Notebook,8,256 SSD,AMD,Windows 10,2.13,67497,0,0,Intel Core i7,0,256,141.21
HP,Notebook,4,128 SSD,Intel,Windows 10,1.91,38592,0,0,Intel Core i3,0,128,141.21
Asus,Notebook,4,256 SSD,Intel,Windows 10,2.0,51531,0,0,Intel Core i5,0,256,100.45
MSI,Gaming,16,256 SSD +  2000 HDD,Nvidia,Windows 10,2.43,215291,0,0,Intel Core i7,2000,256,127.34
Asus,Notebook,4,256 SSD,Intel,Linux/Android/Chrome OS,2.0,36482,0,0,Intel Core i3,0,256,141.21
Dell,Notebook,16,256 SSD +  2000 HDD,AMD,Windows 10,2.8,114195,0,0,Intel Core i7,2000,256,127.34
Dell,Ultrabook,8,256 SSD,Intel,Windows 10,1.7,77272,0,0,Intel Core i5,0,256,157.35
Lenovo,Notebook,8,256 SSD,Intel,No OS,1.7,52658,0,1,Intel Core i3,0,256,157.35
Asus,Notebook,8,256 SSD,Intel,Windows 10,1.4,82723,0,0,Intel Core i5,0,256,157.35
HP,Notebook,8,256 SSD,Intel,Windows 10,1.86,60657,0,0,Intel Core i5,0,256,141.21
Asus,Ultrabook,16,512 SSD,Nvidia,Windows 10,1.8,174325,0,0,Intel Core i7,0,512,141.21
HP,Notebook,4,500 HDD,AMD,Windows 10,1.86,38565,0,0,Intel Core i3,500,0,100.45
HP,Notebook,4,32 SSD,Intel,Windows 10,1.44,20131,0,0,Intel Celeron,0,32,111.94
Lenovo,Notebook,4,1000 HDD,Intel,Windows 10,1.9,48262,0,0,Intel Core i5,1000,0,141.21
Asus,Gaming,12,1000 HDD,Nvidia,Linux/Android/Chrome OS,3.0,83426,0,0,Intel Core i7,1000,0,127.34
Dell,Ultrabook,8,256 SSD,AMD,Windows 10,1.4,83954,0,1,Intel Core i7,0,256,165.63
Dell,Notebook,8,256 SSD,AMD,Windows 10,2.2,76481,0,0,Intel Core i7,0,256,141.21
MSI,Gaming,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.7,96261,0,0,Intel Core i5,1000,128,127.34
Acer,Notebook,8,1000 HDD,Intel,Windows 10,2.1,34196,0,0,Intel Core i3,1000,0,111.94
Asus,Gaming,8,1000 HDD,Nvidia,Windows 10,2.2,83426,0,0,Intel Core i7,1000,0,141.21
Lenovo,Notebook,8,2000 HDD,Intel,No OS,2.2,45625,0,0,Intel Core i5,2000,0,141.21
Dell,Notebook,8,128 SSD +  1000 HDD,Intel,Windows 10,2.02,75163,0,0,Intel Core i7,1000,128,141.21
Acer,Notebook,4,1000 HDD,Nvidia,Windows 10,2.2,46592,0,0,Intel Core i3,1000,0,141.21
HP,Notebook,8,128 SSD +  1000 HDD,Nvidia,Windows 10,2.5,85888,0,0,Intel Core i5,1000,128,127.34
